Headline,Body ID,Stance,Confidence
CPWD official sacked for absence from duty for 25 years,1318,unrelated,1
"Apple: Citi Sees $550 and $950 Apple Watches, Accessory Plethora",2414,unrelated,1
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,324,unrelated,1
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",1379,unrelated,1
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,2475,unrelated,1
Dumped woman spends a week in KFC to get over ex,1097,unrelated,1
ISIS KILLS 300 IRAQI SOLDIERS WITH CHLORINE GAS: SHIA MP,2489,unrelated,1
Unconfirmed reports claim Canadian-Israeli Gill Rosenberg captured by ISIS,513,unrelated,1
"Kayla Jean Mueller, U.S. hostage, killed in Jordan airstrike, ISIS claims",493,unrelated,1
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",686,unrelated,1
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,2149,unrelated,1
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,860,unrelated,1
'Hairgate': iPhone hit by new social media storm,526,unrelated,1
Now THAT'S a Royal trip! Alan Titchmarsh finds psychedelic mushroom in the Queen's garden at Buckingham Palace,1184,unrelated,1
ISIS pays tribute to its 'Cub of Baghdadi' child soldier,1261,unrelated,1
Tiger Woods' former luxury island goes on sale,236,unrelated,1
"Small meteorite strikes Nicaragua, government says",812,unrelated,1
"Bosnia: Seven underage girls return from five day school trip, pregnant",313,unrelated,1
'I aborted my baby because it was a boy': Outrage after 'feminist' blogger claims gender prompted termination,2213,unrelated,1
Someone Spraypainted A Penis On A £1.5m Bugatti Veyron And It Went Very Viral,822,unrelated,1
American hostage in Yemen freed in military raid-Defence Ministry,56,unrelated,1
"So, There Might Be a Rat Infestation at Vogue",2277,unrelated,1
Shocking moment shows 'adulteress' stripped naked and beaten in busy shopping centre,1131,unrelated,1
Now the Vogue Rats Are Chewing Through Couture,639,unrelated,1
"No, it's not Tiger Woods selling an island in Lake Mälaren",2508,unrelated,1
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",788,unrelated,1
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,225,unrelated,1
Insurgents killed in Nigeria despite alleged truce with Boko Haram,459,unrelated,1
Anyone for dog meat soup? Kim Jong-Un considers opening restaurant in Scotland selling North Korean delicacies,1806,unrelated,1
Is Kim Jong-Un Really Opening a Restaurant in Scotland?,1339,unrelated,1
Sugarhill Gang rapper Big Bank Hank dead at 57,944,unrelated,1
ISIS Releases YouTube Video Showing 10-Year-Old 'Martyr' Allegedly Killed in Battle,1931,unrelated,1
Amazon.com to open first physical store in Manhattan: DJ,1369,unrelated,1
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,737,unrelated,1
CNN Posts Alleged Audio of Michael Brown Shooting,900,unrelated,1
N Korean leader misses annual ritual; sister ‘takes over duties’,465,unrelated,1
Eggnog-chugging contest leads to hospital stay,60,unrelated,1
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,1835,unrelated,1
Would-be rapist has penis severed by angry mob,36,unrelated,1
"Boko Haram: Kidnapped Girls Have Been Married Off, Truce Never Happened",381,unrelated,1
Kim Jong-Un 'bans the name Kim Jong-un',615,unrelated,1
Teacher sex tape exposed as a FAKE after internet detectives trace the origin of pornographic clip,1496,unrelated,1
MACAULAY CULKIN IS THE LATEST VICTIM OF A CELEBRITY DEATH HOAX — AND THESE 9 STARS KNOW EXACTLY HOW HE FEELS!,2022,unrelated,1
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,269,unrelated,1
Opposition group: ISIS militants training to fly warplanes in Syria,487,unrelated,1
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,206,unrelated,1
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",80,unrelated,1
Alleged audio of Michael Brown shooting has surfaced,1104,unrelated,1
Seven girls as young as 13 become pregnant on a school trip,313,unrelated,1
Setting the record straight on tor,737,unrelated,1
Devoted pet owner spends £300 to save his GOLDFISH after it became constipated,2272,unrelated,1
"Sick Kansas City man said not to have Ebola, U.S. plans new steps to fight virus",2130,unrelated,1
ISIS pays tribute to its 'Cub of Baghdadi' child soldier,1336,unrelated,1
Al-Shabaab co-founder confirmed killed by US air strike in Somalia,2196,unrelated,1
The Image That Everyone Is Sharing By 'Banksy' Isn't By Banksy — But It's Awesome,526,unrelated,1
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1317,unrelated,1
"Yang Hu, worker in Zhejiang, cuts off own penis over desperation of finding love",686,unrelated,1
Kim Jong-Un planning Scottish restaurant,1339,unrelated,1
'Jihadi John' named as Mohammed Emwazi from London,788,unrelated,1
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",107,unrelated,1
Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,221,unrelated,1
"ISIS Claims Female American Hostage, Kayla Mueller, Killed in Airstrike",532,unrelated,1
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,2483,unrelated,1
Who Should Play Steve Jobs Now That Christian Bale Quit?,1294,unrelated,1
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,unrelated,1
High School Student Rumored to Have Made $72 Million Trading Stocks,1693,unrelated,1
A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,241,unrelated,1
"Apple Watch pricing: Will you spend $5000 for Gold edition, $500 for stainless steel?",1863,unrelated,1
BREAKING NEWS: British-born U.S. photojournalist held hostage by al-Qaeda killed in failed rescue attempt in Yemen,56,unrelated,1
"Vice Media’s CEO blew $300,000 on dinner, and a Vegas casino boss blabbed about it",1817,unrelated,1
"Amazon reportedly launching free, ad-supported video service (updated)",686,unrelated,1
North Korea reportedly bans anyone sharing Kim Jong Un's name,1975,unrelated,1
Amazon.com to open first physical store in Manhattan: DJ,1360,unrelated,1
White House Fence Jumper Made It Further Into Building Than Reported,1137,unrelated,1
400 men cut their testicles off believing it would help them meet God,1281,unrelated,1
Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,1277,unrelated,1
"Jihadi John named as Mohammed Emwazi, from west London",1660,unrelated,1
Amazon Reportedly Planning An Ad-Supported Video Service That Will Be Cheaper Than Netflix,789,unrelated,1
"UBS survey finds 10% of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",1149,unrelated,1
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,1806,unrelated,1
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1010,unrelated,1
NBC weatherman caught urinating in the woods live on air,1855,unrelated,1
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",609,unrelated,1
Watch NAKED airport worker walk through scanner in bizarre protest against 'rough' guards,1831,unrelated,1
KIM JONG-UN NECKS SNAKE WINE FOR VIRILITY,55,unrelated,1
Comcast Says You Can Keep Your Tor,900,unrelated,1
Tiger Woods prices private island at $7.1 million,1954,unrelated,1
